Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
12-09-26,TOP 14 2026,Fecha 22,1,#FFAA00,Ball in Play,Verde - Try ,0:00:44,0:02:54,129.3,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,2,#FFAA00,Ball in Play,,0:04:21,0:04:28,7.2,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,3,#FFAA00,Ball in Play,,0:06:45,0:06:53,8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,4,#FFAA00,Ball in Play,,0:07:06,0:07:35,28.9,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,5,#FFAA00,Ball in Play,,0:08:10,0:08:47,37.2,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,6,#FFAA00,Ball in Play,Verde - Penal,0:11:46,0:12:52,66,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,7,#FFAA00,Ball in Play,,0:14:06,0:14:26,20.8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,8,#FFAA00,Ball in Play,,0:16:00,0:16:11,10.6,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,9,#FFAA00,Ball in Play,,0:17:33,0:18:05,31.8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,10,#FFAA00,Ball in Play,,0:19:42,0:20:40,57.6,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,11,#FFAA00,Ball in Play,Verde - Scrum,0:22:05,0:24:18,133.1,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,12,#FFAA00,Ball in Play,Verde - Penal,0:26:43,0:28:35,111.8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,13,#FFAA00,Ball in Play,,0:29:36,0:29:40,3.9,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,14,#FFAA00,Ball in Play,,0:30:09,0:31:02,52.8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,15,#FFAA00,Ball in Play,,0:32:32,0:32:52,20.4,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,16,#FFAA00,Ball in Play,,0:33:53,0:34:08,15,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,17,#FFAA00,Ball in Play,,0:35:13,0:35:31,17.7,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,18,#FFAA00,Ball in Play,Rojo - Penal,0:37:13,0:38:16,63.1,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,19,#FFAA00,Ball in Play,Verde - Line Out,0:39:46,0:40:51,64.2,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,20,#FFAA00,Ball in Play,,0:41:31,0:42:08,37.1,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,21,#FFAA00,Ball in Play,,0:43:08,0:43:48,40,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,22,#FFAA00,Ball in Play,,0:46:13,0:46:22,8.3,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,23,#FFAA00,Ball in Play,Verde - Line Out,0:47:01,0:48:29,88.3,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,24,#FFAA00,Ball in Play,Verde - Line Out,0:49:06,0:50:24,78.1,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,25,#FFAA00,Ball in Play,Verde - Scrum,0:51:55,0:53:18,83.2,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,26,#FFAA00,Ball in Play,,0:56:10,0:56:23,13.3,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,27,#FFAA00,Ball in Play,,0:56:44,0:56:52,7.8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,28,#FFAA00,Ball in Play,,0:57:32,0:58:12,39.5,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,29,#FFAA00,Ball in Play,,1:00:52,1:01:01,9.2,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,30,#FFAA00,Ball in Play,,1:02:33,1:02:46,12.5,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,31,#FFAA00,Ball in Play,Rojo - Line Out,1:03:28,1:04:33,64.4,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,32,#FFAA00,Ball in Play,,1:05:08,1:05:21,12.5,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,33,#FFAA00,Ball in Play,,1:06:44,1:07:01,16.8,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,34,#FFAA00,Ball in Play,,1:08:04,1:08:07,3.4,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,35,#FFAA00,Ball in Play,,1:08:43,1:09:41,57.9,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,36,#FFAA00,Ball in Play,,1:11:37,1:12:25,47.9,Plaza 2,Ganado,VUELTA,Fase Regular
12-09-26,TOP 14 2026,Fecha 22,37,#FFAA00,Ball in Play,,1:13:08,1:13:19,11.1,Plaza 2,Ganado,VUELTA,Fase Regular
