Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Partido,Resultado ,Rueda,Etapa
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,Verde - Penal  ,0:00:35,0:01:42,67.46,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:02:46,0:03:40,53.94,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:06:45,0:06:54,8.08,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:07:50,0:08:02,12.44,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:09:45,0:10:32,47.54,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:12:13,0:12:37,23.3,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:13:04,0:13:30,25.94,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:14:36,0:14:49,12.96,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:16:20,0:16:40,19.62,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:17:24,0:17:45,21.016,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:18:32,0:19:17,45.13,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:21:00,0:21:20,20.118,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:21:52,0:21:56,4.166,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:23:41,0:24:01,20.366,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:24:59,0:25:02,2.355,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:25:56,0:26:00,3.534,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:26:55,0:27:54,59.547,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:29:35,0:30:14,39.412,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,Rojo - Penal,0:31:40,0:33:02,81.969,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:34:06,0:34:41,34.576,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,Rojo - Scrum,0:36:19,0:38:29,129.599,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:40:13,0:40:20,6.946,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:41:11,0:41:21,10.18,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:42:11,0:42:23,11.679,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:42:59,0:43:02,3.174,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:43:50,0:44:26,36.24,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:45:45,0:45:55,9.74,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:48:49,0:48:52,3.573,Newman 2,Perdido,VUELTA,Fase Regular
7/19/2026,TOP 14 2026,Fecha 16,10:00:09,11:32:02,Ball in Play,,0:49:33,0:49:43,10.117,Newman 2,Perdido,VUELTA,Fase Regular
